TrialType,Top,Left,Right,EmptyFrame,SelectedFrame,Correct,Emotion,Gender,TrialLength,FixationLength,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_starttask.keys,key_resp_starttask.rt,GCBeginningFixationStartTime,GCBeginningFixationEndTime,key_resp_trial.keys,key_resp_trial.corr,GCFaceStartTime,GCPostFaceFixationStartTime,GCPostFaceFixationEndTime,key_resp_trial.rt,GCEndingFixationStartTime,GCEndingFixationEndTime,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,5,16.2891840999946,,,,,,,,,,,sub004,002,2025_May_16_0903,HaririTask_Ver1,3.0.1,None,
MatchFaces,stimuli/MatchFaces.bmp,stimuli/EmptyFace.bmp,stimuli/EmptyFace.bmp,stimuli/EmptyFrame.bmp,stimuli/EmptyFrame.bmp,Null,None,None,3,1,0,0,0,0,,,2.9001384973526e-06,15.010044400114566,None,0,15.283624700270593,18.098486999981105,19.104761000256985,,,,sub004,002,2025_May_16_0903,HaririTask_Ver1,3.0.1,None,
Anger,stimuli/01F_AN_O.bmp,stimuli/19F_AN_O.BMP,stimuli/01F_AN_O.bmp,stimuli/EmptyFrame.bmp,stimuli/RedFrame.bmp,2,Anger,Female,3,1,0,1,1,1,,,,,2,1,19.2638455000706,22.13366649998352,23.12516550021246,0.7995762000791728,,,sub004,002,2025_May_16_0903,HaririTask_Ver1,3.0.1,None,
Anger,stimuli/02f_an_o.bmp,stimuli/18F_AN_O.BMP,stimuli/02f_an_o.bmp,stimuli/EmptyFrame.bmp,stimuli/RedFrame.bmp,2,Anger,Female,3,1,0,2,2,2,,,,,2,1,23.151574600022286,26.155195999890566,27.137667399831116,0.798202000092715,,,sub004,002,2025_May_16_0903,HaririTask_Ver1,3.0.1,None,
Anger,stimuli/20M_AN_O.BMP,stimuli/34M_AN_O.BMP,stimuli/20M_AN_O.BMP,stimuli/EmptyFrame.bmp,stimuli/RedFrame.bmp,2,Anger,Male,3,1,0,3,3,3,,,,,2,1,27.17258090013638,30.16555090015754,31.151147600263357,0.7307879999279976,,,sub004,002,2025_May_16_0903,HaririTask_Ver1,3.0.1,None,
Anger,stimuli/03F_AN_O.bmp,stimuli/03F_AN_O.bmp,stimuli/17F_AN_O.BMP,stimuli/EmptyFrame.bmp,stimuli/RedFrame.bmp,1,Anger,Female,3,1,0,4,4,4,,,,,1,1,31.18301049992442,34.18568470003083,35.16513690026477,0.6546022999100387,,,sub004,002,2025_May_16_0903,HaririTask_Ver1,3.0.1,None,
Anger,stimuli/21M_AN_O.BMP,stimuli/21M_AN_O.BMP,stimuli/33M_AN_O.BMP,stimuli/EmptyFrame.bmp,stimuli/RedFrame.bmp,1,Anger,Male,3,1,0,5,5,5,,,,,1,1,35.19821309996769,38.218552300240844,39.17948799999431,0.5935728996992111,,,sub004,002,2025_May_16_0903,HaririTask_Ver1,3.0.1,None,
Anger,stimuli/22M_AN_O.BMP,stimuli/32M_AN_O.BMP,stimuli/22M_AN_O.BMP,stimuli/EmptyFrame.bmp,stimuli/RedFrame.bmp,2,Anger,Male,3,1,0,6,6,6,,,,,2,1,39.20960110006854,42.21518580010161,43.192914200015366,0.6673023998737335,,,sub004,002,2025_May_16_0903,HaririTask_Ver1,3.0.1,None,
Anger,stimuli/23M_AN_O.BMP,stimuli/23M_AN_O.BMP,stimuli/31M_AN_O.BMP,stimuli/EmptyFrame.bmp,stimuli/RedFrame.bmp,1,Anger,Male,3,1,0,7,7,7,,,,,1,1,43.22102170018479,46.23203760012984,47.2159910001792,0.7276635002344847,,,sub004,002,2025_May_16_0903,HaririTask_Ver1,3.0.1,None,
Anger,stimuli/05F_AN_O.bmp,stimuli/05F_AN_O.bmp,stimuli/16F_AN_O.BMP,stimuli/EmptyFrame.bmp,stimuli/RedFrame.bmp,1,Anger,Female,3,1,0,8,8,8,,,,,1,1,47.24929889990017,50.25478590000421,51.23552929982543,0.821043100208044,,,sub004,002,2025_May_16_0903,HaririTask_Ver1,3.0.1,None,
Anger,stimuli/06F_AN_O.bmp,stimuli/15F_AN_O.BMP,stimuli/06F_AN_O.bmp,stimuli/EmptyFrame.bmp,stimuli/RedFrame.bmp,2,Anger,Female,3,1,0,9,9,9,,,,,2,1,51.26664579985663,54.261477100197226,55.24898139992729,0.5520972004160285,,,sub004,002,2025_May_16_0903,HaririTask_Ver1,3.0.1,None,
Anger,stimuli/24M_AN_O.BMP,stimuli/24M_AN_O.BMP,stimuli/30M_AN_O.BMP,stimuli/EmptyFrame.bmp,stimuli/RedFrame.bmp,1,Anger,Male,3,1,0,10,10,10,,,,,1,1,55.27993249986321,58.283622900024056,59.26990579999983,0.8002961003221571,,,sub004,002,2025_May_16_0903,HaririTask_Ver1,3.0.1,None,
MatchShape,stimuli/MatchShapes.bmp,stimuli/EmptyFace.bmp,stimuli/EmptyFace.bmp,stimuli/EmptyFrame.bmp,stimuli/EmptyFrame.bmp,Null,None,None,3,1,0,11,11,11,,,,,None,0,59.30240269983187,62.29482530010864,63.281742699909955,,,,sub004,002,2025_May_16_0903,HaririTask_Ver1,3.0.1,None,
Shape,stimuli/horizontal.bmp,stimuli/horizontal.bmp,stimuli/circle.bmp,stimuli/EmptyFrame.bmp,stimuli/RedFrame.bmp,1,Shape,None,3,1,0,12,12,12,,,,,1,1,63.31705000018701,66.31114580016583,67.30601210007444,0.5459737000055611,,,sub004,002,2025_May_16_0903,HaririTask_Ver1,3.0.1,None,
Shape,stimuli/vertical.bmp,stimuli/horizontal.bmp,stimuli/vertical.bmp,stimuli/EmptyFrame.bmp,stimuli/RedFrame.bmp,2,Shape,None,3,1,0,13,13,13,,,,,2,1,67.33636040007696,70.3336486001499,71.32753890007734,0.6644250000827014,,,sub004,002,2025_May_16_0903,HaririTask_Ver1,3.0.1,None,
Shape,stimuli/horizontal.bmp,stimuli/horizontal.bmp,stimuli/vertical.bmp,stimuli/EmptyFrame.bmp,stimuli/RedFrame.bmp,1,Shape,None,3,1,0,14,14,14,,,,,1,1,71.35149919986725,74.35141019988805,75.3390974001959,0.5158830001018941,,,sub004,002,2025_May_16_0903,HaririTask_Ver1,3.0.1,None,
Shape,stimuli/horizontal.bmp,stimuli/circle.bmp,stimuli/horizontal.bmp,stimuli/EmptyFrame.bmp,stimuli/RedFrame.bmp,2,Shape,None,3,1,0,15,15,15,,,,,2,1,75.36260859994218,78.3687681001611,79.35981140006334,0.5240143002010882,,,sub004,002,2025_May_16_0903,HaririTask_Ver1,3.0.1,None,
Shape,stimuli/circle.bmp,stimuli/circle.bmp,stimuli/vertical.bmp,stimuli/EmptyFrame.bmp,stimuli/RedFrame.bmp,1,Shape,None,3,1,0,16,16,16,,,,,1,1,79.38193430006504,82.39016239997,83.37691419990733,0.5065693003125489,,,sub004,002,2025_May_16_0903,HaririTask_Ver1,3.0.1,None,
